	palabra	contador1	contador2
0	morales	5.0	5
1	para	4.0	2
2	estado	3.0	1
3	país	2.0	1
4	contra	2.0	3
5	política	2.0	1
6	como	2.0	2
7	presidente	2.0	4
8	pero	2.0	1
9	militares	1.0	5
10	fuerzas	1.0	1
11	mando	1.0	1
12	durante	1.0	1
13	ellos	1.0	1
14	dijo	1.0	2
15	días	1.0	1
16	diferentes	1.0	1
17	tenido	1.0	1
18	crisis	1.0	4
19	sociales	1.0	1
20	parte	1.0	1
21	gran	1.0	2
22	este	1.0	1
23	gobierno		5
24	esta		4
25	policía		4
26	momento		3
27	estos		3
28	esto		2
29	comandantes		2
30	otra		2
31	fuertemente		2
32	tareas		2
33	sánchez		2
34	también		2
35	protestas		2
36	lozada		2
37	pagar		1
38	interna		1
39	sido		1
40	distanciamiento		1
41	especialmente		1
42	explica		1
43	ofendida		1
44	amotinamiento		1
45	finales		1
46	circunstancias		1
47	sintió		1
48	propia		1
49	factores		1
50	medida		1
51	necesario		1
52	juicio		1
53	responsabilidades		1
54	instruido		1
55	sentencia		1
56	impulsada		1
57	inhibiría		1
58	sucesores		1
59	volver		1
60	aceptar		1
61	órdenes		1
62	encargarse		1
63	orden		1
64	condujo		1
65	interno		1
66	cuando		1
67	fuera		1
68	institución		1
69	habían		1
70	incumplir		1
71	expectativas		1
72	concesión		1
73	cédulas		1
74	identidad		1
75	licencias		1
76	conducir		1
77	sabía		1
78	hecho		1
79	estaba		1
80	causando		1
81	malestar		1
82	dentro		1
83	traduciría		1
84	adelante		1
85	podrían		1
86	debilitar		1
87	estabilidad		1
88	dejar		1
89	cuerpo		1
90	claves		1
91	relevar		1
92	tuvo		1
93	involucramiento		1
94	sociedad		1
95	entre		1
96	puesto		1
97	ella		1
98	escándalos		1
99	acumularon		1
100	siendo		1
101	peor		1
102	general		1
103	respuesta		1
104	rené		1
105	sanabria		1
106	exjefe		1
107	fuerza		1
108	especial		1
109	lucha		1
110	crimen		1
111	caso		1
112	narcotráfico		1
113	años		1
114	2003		1
115	severas		1
116	penas		1
117	concepción		1
118	nacionalista		1
119	ejército		1
120	columna		1
121	vertebral		1
122	desarrollo		1
123	nacionalincluso		1
124	renunciar		1
125	vicepresidente		1
126	álvaro		1
127	garcía		1
128	linera		1
129	evitaron		1
130	recriminar		1
131	inacción		1
132	mientras		1
133	criticaron		1
134	“sectores		1
135	policía”		1
136	bajo		1
137	empresas		1
138	apoyó		1
139	desfiles		1
140	reunía		1
141	cada		1
142	lunes		1
143	alto		1
144	militar		1
145	participaba		1
146	entusiasmo		1
147	actividades		1
148	riego		1
149	incorporó		1
150	soldados		1
151	distribución		1
152	bonos		1
153	programas		1
154	dejaron		1
155	actuar		1
156	ante		1
157	represión		1
158	explicación		1
159	importante		1
160	comportamiento		1
161	halla		1
162	encarcelamiento		1
163	tres		1
164	dirigieron		1
165	sublevación		1
166	oficiales		1
167	popular		1
168	produjo		1
169	octubre		1
170	clave		1
171	gonzalo		1
172	fueron		1
173	únicos		1
174	condenados		1
175	obligado		1
176	popularespese		1
177	públicamente		1
178	proximidad		1
179	caído		1
180	uniformados		1
181	cierto		1
182	sintieron		1
183	molestos		1
184	aunque		1
185	expresarlo		1
186	intención		1
187	curso		1
188	adoctrinarlos		1
189	ideología		1
190	izquierdista		1
191	ejemplo		1
192	mediante		1
193	creación		1
194	escuela		1
195	antiimperialista		1
196	policial		1
