	palabra	contador1	contador2
0	morales	5	5.0
1	para	4	2.0
2	movilización	3	
3	golpe	3	
4	maduro	3	
5	estado	3	1.0
6	apoyo	3	
7	país	2	1.0
8	guaidó	2	
9	oposición	2	
10	segundo	2	
11	contra	2	3.0
12	política	2	1.0
13	exigir	2	
14	como	2	2.0
15	cabello	2	
16	presidente	2	4.0
17	elecciones	2	
18	pero	2	1.0
19	será	2	
20	diferencia	1	
21	mantener	1	
22	logrado	1	
23	militares	1	5.0
24	fuerzas	1	1.0
25	seguridadel	1	
26	mando	1	1.0
27	chavismo	1	
28	diosdado	1	
29	posesión	1	
30	desafío	1	
31	toma	1	
32	irregularidad	1	
33	visos	1	
34	regresó	1	
35	interino	1	
36	juan	1	
37	parlamento	1	
38	jefe	1	
39	juramentación	1	
40	desató	1	
41	turbulencia	1	
42	durante	1	1.0
43	después	1	
44	respaldo	1	
45	darle	1	
46	nicolás	1	
47	temprano	1	
48	anunció	1	
49	había	1	
50	cuadras	1	
51	palacio	1	
52	miraflores	1	
53	coincidirá	1	
54	hace	1	
55	semanas	1	
56	convocado	1	
57	llaguno	1	
58	reactivar	1	
59	presión	1	
60	calles	1	
61	transición	1	
62	conduzca	1	
63	verdaderamente	1	
64	caracas	1	
65	puente	1	
66	líder	1	
67	consigna	1	
68	indígena	1	
69	agresión	1	
70	ellos	1	1.0
71	decir	1	
72	dominada	1	
73	tarde	1	
74	‘evo	1	
75	mítico	1	
76	volvió”	1	
77	dijo	1	2.0
78	concentración	1	
79	próximo	1	
80	sábado	1	
81	noviembre	1	
82	días	1	1.0
83	hizo	1	
84	corresponde	1	
85	preservación	1	
86	tras	1	
87	diferentes	1	1.0
88	desenlaces	1	
89	tenido	1	1.0
90	similares	1	
91	orígenes	1	
92	crisis	1	4.0
93	encaran	1	
94	racismo”maduro	1	
95	víctimas	1	
96	bolivianos	1	
97	originarios	1	
98	pueblos	1	
99	vida	1	
100	declaramos	1	
101	nacional	1	
102	mundo	1	
103	políticos	1	
104	sociales	1	1.0
105	movimientos	1	
106	hermano	1	
107	consumado	1	
108	categóricamente	1	
109	“condenamos	1	
110	renuncia	1	
111	forzado	1	
112	asegura	1	
113	boliviana	1	
114	condenas	1	
115	sumado	1	
116	cambio	1	
117	tablero	1	
118	político	1	
119	región	1	
120	asamblea	1	
121	supremo	1	
122	tribunal	1	
123	sede	1	
124	acto	1	
125	acompañaron	1	
126	mandatarios	1	
127	cuatro	1	
128	internacional	1	
129	comunidad	1	
130	parte	1	1.0
131	gran	1	2.0
132	desconoció	1	
133	2018	1	
134	mayo	1	
135	fraudulentas	1	
136	anticipadas	1	
137	base	1	
138	mandato	1	
139	asumió	1	
140	este	1	1.0
141	enero	1	
142	luego	1	
143	deslegitimado	1	
144	quedaba	1	
145	leal	1	
146	firme	1	
147	último	1	
148	bolivia	1	
149	competitivas	1	
